Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,1.232,3116
0.004,0.993,3116
0.008,0.590,3116
0.012,0.117,3116
0.016,-0.383,3107
0.020,-0.897,3107
0.024,-1.375,3107
0.028,-1.748,3107
0.032,-1.968,3107
0.036,-2.035,3107
0.040,-1.933,3107
0.044,-1.663,3107
0.048,-1.250,3107
0.052,-0.775,3107
0.056,-0.285,3121
0.060,0.223,3121
0.064,0.688,3121
0.068,1.060,3121
0.072,1.302,3121
0.076,1.377,3121
0.080,0.938,3121
0.084,0.562,3121
0.088,0.095,3121
0.092,-0.432,3114
0.096,-0.912,3114
0.100,-1.380,3114
0.104,-1.748,3114
0.108,-1.972,3114
0.112,-2.030,3114
0.116,-1.927,3114
0.120,-1.653,3114
0.124,-1.232,3114
0.128,-0.762,3114
0.132,-0.273,3123
0.136,0.233,3123
0.140,0.708,3123
0.144,1.087,3123
0.148,1.323,3123
0.152,1.393,3123
0.156,1.298,3123
0.160,0.542,3123
0.164,-0.502,3132
0.168,-1.415,3132
0.172,-1.748,3132
0.176,-1.962,3132
0.180,-2.013,3132
0.184,-1.893,3132
0.188,-1.623,3132
0.192,-1.202,3132
0.196,-0.723,3132
0.200,-0.253,3112
0.204,0.258,3112
0.208,0.728,3112
0.212,1.097,3112
0.216,1.337,3112
0.220,1.397,3112
0.224,1.305,3112
0.228,1.022,3112
0.232,0.618,3112
0.236,0.145,3112
0.240,-0.945,3126
0.244,-1.722,3126
0.248,-1.942,3126
0.252,-2.007,3126
0.256,-1.897,3126
0.260,-1.640,3126
0.264,-1.230,3126
0.268,-0.765,3126
0.272,-0.270,3118
0.276,0.228,3118
0.280,0.695,3118
0.284,1.062,3118
0.288,1.298,3118
0.292,1.357,3118
0.296,1.238,3118
0.300,0.980,3118
0.304,0.575,3118
0.308,0.098,3118
0.312,-0.393,3124
0.316,-0.902,3124
0.320,-1.792,3124
0.324,-1.968,3124
0.328,-2.027,3124
0.332,-1.907,3124
0.336,-1.655,3124
0.340,-1.252,3124
0.344,-0.785,3124
0.348,-0.302,3133
0.352,0.207,3133
0.356,0.677,3133
0.360,1.052,3133
0.364,1.272,3133
0.368,1.357,3133
0.372,1.248,3133
0.376,0.988,3133
0.380,0.590,3133
0.384,0.117,3133
0.388,-0.375,3124
0.392,-0.892,3124
0.396,-1.350,3124
0.400,-1.970,3124
0.404,-2.018,3124
0.408,-1.923,3124
0.412,-1.655,3124
0.416,-1.250,3124
0.420,-0.777,3124
0.424,-0.282,3108
0.428,0.225,3108
0.432,0.695,3108
0.436,1.073,3108
0.440,1.327,3108
0.444,1.390,3108
0.448,1.270,3108
0.452,1.010,3108
0.456,0.613,3108
0.460,0.152,3108
0.464,-0.352,3098
0.468,-0.868,3098
0.472,-1.345,3098
0.476,-1.728,3098
0.480,-2.018,3098
0.484,-1.930,3098
0.488,-1.657,3098
0.492,-1.252,3098
0.496,-0.780,3098
0.500,-0.287,3142
0.504,0.225,3142
0.508,0.698,3142
0.512,1.073,3142
0.516,1.308,3142
0.520,1.387,3142
0.524,1.272,3142
0.528,1.018,3142
0.532,0.615,3142
0.536,0.138,3142
0.540,-0.367,3125
0.544,-0.882,3125
0.548,-1.365,3125
0.552,-1.738,3125
0.556,-1.968,3125
0.560,-1.890,3125
0.564,-1.613,3125
0.568,-1.262,3125
0.572,-0.812,3125
0.576,-0.260,3127
0.580,0.235,3127
0.584,0.698,3127
0.588,1.070,3127
0.592,1.312,3127
0.596,1.393,3127
0.600,1.147,3127
0.604,0.573,3127
0.608,0.155,3127
0.612,-0.345,3122
0.616,-0.870,3122
0.620,-1.347,3122
0.624,-1.728,3122
0.628,-1.950,3122
0.632,-2.025,3122
0.636,-1.925,3122
0.640,-1.190,3122
0.644,-0.713,3122
0.648,-0.290,3132
0.652,0.225,3132
0.656,0.695,3132
0.660,1.077,3132
0.664,1.327,3132
0.668,1.397,3132
0.672,1.308,3132
0.676,1.030,3132
0.680,0.627,3132
0.684,0.158,3132
0.688,-0.345,3143
0.692,-0.868,3143
0.696,-1.337,3143
0.700,-1.715,3143
0.704,-1.948,3143
0.708,-2.018,3143
0.712,-1.923,3143
0.716,-1.655,3143
0.720,-0.703,3143
0.724,-0.273,3118
0.728,0.235,3118
0.732,0.700,3118
0.736,1.077,3118
0.740,1.310,3118
0.744,1.377,3118
0.748,1.252,3118
0.752,0.983,3118
0.756,0.583,3118
0.760,0.113,3118
0.764,-0.385,3119
0.768,-0.905,3119
0.772,-1.377,3119
0.776,-1.762,3119
0.780,-1.978,3119
0.784,-2.042,3119
0.788,-1.942,3119
0.792,-1.673,3119
0.796,-1.265,3119
0.800,-0.217,3136
0.804,0.703,3136
0.808,1.080,3136
0.812,1.333,3136
0.816,1.397,3136
0.820,1.302,3136
0.824,1.025,3136
0.828,0.630,3136
0.832,0.158,3136
0.836,-0.347,3139
0.840,-0.868,3139
0.844,-1.340,3139
0.848,-1.722,3139
0.852,-1.950,3139
0.856,-2.022,3139
0.860,-1.927,3139
0.864,-1.653,3139
0.868,-1.248,3139
0.872,-0.777,3139
0.876,-0.278,3139
0.880,0.760,3123
0.884,1.312,3123
0.888,1.377,3123
0.892,1.268,3123
0.896,0.998,3123
0.900,0.598,3123
0.904,0.133,3123
0.908,-0.367,3123
0.912,-0.882,3123
0.916,-1.353,3123
0.920,-1.730,3123
0.924,-1.952,3123
0.928,-2.018,3123
0.932,-1.907,3123
0.936,-1.655,3123
