Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,0.098,3122
0.002,0.425,3122
0.004,0.765,3122
0.006,0.980,3122
0.008,1.060,3125
0.010,0.993,3125
0.012,0.772,3125
0.014,0.460,3125
0.016,0.077,3125
0.018,-0.347,3125
0.020,-0.780,3125
0.022,-1.202,3125
0.024,-1.548,3125
0.026,-1.772,3125
0.028,-1.857,3086
0.030,-1.805,3086
0.032,-1.603,3086
0.034,-1.262,3086
0.036,-0.865,3086
0.038,-0.448,3086
0.040,0.468,3086
0.042,0.752,3086
0.044,0.975,3086
0.046,1.065,3119
0.048,1.008,3119
0.050,0.812,3119
0.052,0.472,3119
0.054,0.092,3119
0.056,-0.338,3119
0.058,-0.777,3119
0.060,-1.202,3119
0.062,-1.545,3119
0.064,-1.770,3119
0.066,-1.853,3134
0.068,-1.788,3134
0.070,-1.583,3134
0.072,-1.252,3134
0.074,-0.863,3134
0.076,-0.432,3134
0.078,-0.007,3134
0.080,0.812,3134
0.082,0.983,3134
0.084,1.062,3134
0.086,0.998,3134
0.088,0.787,3134
0.090,0.468,3134
0.092,0.077,3134
0.094,-0.330,3134
0.096,-0.765,3134
0.098,-1.177,3134
0.100,-1.522,3134
0.102,-1.738,3134
0.104,-1.827,3143
0.106,-1.778,3143
0.108,-1.577,3143
0.110,-1.252,3143
0.112,-0.868,3143
0.114,-0.453,3143
0.116,-0.020,3143
0.118,0.398,3143
0.120,0.990,3143
0.122,1.060,3140
0.124,1.012,3140
0.126,0.820,3140
0.128,0.502,3140
0.130,0.113,3140
0.132,-0.302,3140
0.134,-0.738,3140
0.136,-1.163,3140
0.138,-1.502,3140
0.140,-1.722,3140
0.142,-1.810,3086
0.144,-1.760,3086
0.146,-1.552,3086
0.148,-1.225,3086
0.150,-0.843,3086
0.152,-0.420,3086
0.154,0.018,3086
0.156,0.417,3086
0.158,0.752,3086
0.160,1.058,3124
0.162,0.792,3124
0.164,0.472,3124
0.166,0.092,3124
0.168,-0.343,3124
0.170,-0.772,3124
0.172,-1.183,3124
0.174,-1.528,3124
0.176,-1.738,3124
0.178,-1.827,3132
0.180,-1.772,3132
0.182,-1.573,3132
0.184,-1.250,3132
0.186,-0.863,3132
0.188,-0.445,3132
0.190,-0.013,3132
0.192,0.407,3132
0.194,0.752,3132
0.196,0.993,3132
0.198,1.075,3137
0.200,0.775,3137
0.202,0.510,3137
0.204,0.128,3137
0.206,-0.370,3137
0.208,-0.728,3137
0.210,-1.140,3137
0.212,-1.492,3137
0.214,-1.702,3137
0.216,-1.802,3127
0.218,-1.742,3127
0.220,-1.552,3127
0.222,-1.238,3127
0.224,-0.860,3127
0.226,-0.432,3127
0.228,-0.007,3127
0.230,0.417,3127
0.232,0.767,3127
0.234,0.993,3127
0.236,1.077,3133
0.238,1.018,3133
0.240,0.427,3133
0.242,0.100,3133
0.244,-0.330,3133
0.246,-0.762,3133
0.248,-1.185,3133
0.250,-1.532,3133
0.252,-1.745,3133
0.254,-1.833,3124
0.256,-1.782,3124
0.258,-1.573,3124
0.260,-1.245,3124
0.262,-0.853,3124
0.264,-0.427,3124
0.266,-0.013,3124
0.268,0.410,3124
0.270,0.743,3124
0.272,0.973,3124
0.274,1.065,3118
0.276,1.008,3118
0.278,0.797,3118
0.280,0.022,3118
0.282,-0.362,3118
0.284,-0.785,3118
0.286,-1.183,3118
0.288,-1.528,3118
0.290,-1.740,3118
0.292,-1.843,3127
0.294,-1.780,3127
0.296,-1.577,3127
0.298,-1.255,3127
0.300,-0.865,3127
0.302,-0.450,3127
0.304,-0.028,3127
0.306,0.398,3127
0.308,0.743,3127
0.310,0.978,3127
0.312,1.060,3116
0.314,1.002,3116
0.316,0.792,3116
0.318,0.475,3116
0.320,-0.403,3116
0.322,-0.755,3116
0.324,-1.175,3116
0.326,-1.528,3116
0.328,-1.732,3116
0.330,-1.823,3116
0.332,-1.780,3119
0.334,-1.573,3119
0.336,-1.252,3119
0.338,-0.868,3119
0.340,-0.453,3119
0.342,-0.018,3119
0.344,0.398,3119
0.346,0.743,3119
0.348,0.980,3119
0.350,1.062,3119
0.352,0.998,3117
0.354,0.790,3117
0.356,0.468,3117
0.358,0.075,3117
0.360,-0.860,3117
0.362,-1.202,3117
0.364,-1.548,3117
0.366,-1.768,3117
0.368,-1.857,3117
0.370,-1.792,3104
0.372,-1.585,3104
0.374,-1.260,3104
0.376,-0.868,3104
0.378,-0.450,3104
0.380,-0.010,3104
0.382,0.422,3104
0.384,0.767,3104
0.386,1.002,3104
0.388,1.087,3104
0.390,1.015,3107
0.392,0.797,3107
0.394,0.477,3107
0.396,0.087,3107
0.398,-0.350,3107
0.400,-1.337,3107
0.402,-1.573,3107
0.404,-1.790,3107
0.406,-1.873,3107
0.408,-1.815,3108
0.410,-1.617,3108
0.412,-1.295,3108
0.414,-0.887,3108
0.416,-0.453,3108
0.418,-0.013,3108
0.420,0.422,3108
0.422,0.772,3108
0.424,0.993,3108
0.426,1.070,3108
0.428,1.015,3111
0.430,0.787,3111
0.432,0.463,3111
0.434,0.068,3111
0.436,-0.362,3111
0.438,-0.802,3111
0.440,-1.600,3111
0.442,-1.785,3111
0.444,-1.850,3111
0.446,-1.788,3114
0.448,-1.575,3114
0.450,-1.252,3114
0.452,-0.853,3114
0.454,-0.432,3114
0.456,-0.007,3114
0.458,0.417,3114
0.460,0.760,3114
0.462,0.985,3114
0.464,1.077,3114
0.466,1.025,3106
0.468,0.823,3106
0.470,0.502,3106
0.472,0.107,3106
0.474,-0.325,3106
0.476,-0.748,3106
0.478,-1.167,3106
0.480,-1.775,3106
0.482,-1.827,3106
0.484,-1.765,3131
0.486,-1.562,3131
0.488,-1.238,3131
0.490,-0.853,3131
0.492,-0.422,3131
0.494,0.018,3131
0.496,0.427,3131
0.498,0.777,3131
0.500,1.008,3131
0.502,1.093,3131
0.504,1.035,3115
0.506,0.828,3115
0.508,0.502,3115
0.510,0.102,3115
0.512,-0.343,3115
0.514,-0.777,3115
0.516,-1.208,3115
0.518,-1.562,3115
0.520,-1.857,3101
0.522,-1.583,3101
0.524,-1.292,3101
0.526,-0.843,3101
0.528,-0.445,3101
0.530,-0.015,3101
0.532,0.417,3101
0.534,0.772,3101
0.536,1.010,3101
0.538,1.097,3101
0.540,1.048,3078
0.542,0.845,3078
0.544,0.522,3078
0.546,0.110,3078
0.548,-0.323,3078
0.550,-0.762,3078
0.552,-1.177,3078
0.554,-1.532,3078
0.556,-1.748,3078
0.558,-1.847,3078
0.560,-1.560,3129
0.562,-0.855,3129
0.564,-0.415,3129
0.566,0.022,3129
0.568,0.427,3129
0.570,0.745,3129
0.572,0.983,3129
0.574,1.070,3129
0.576,1.020,3135
0.578,0.820,3135
0.580,0.500,3135
0.582,0.098,3135
0.584,-0.305,3135
0.586,-0.743,3135
0.588,-1.160,3135
0.590,-1.508,3135
0.592,-1.732,3135
0.594,-1.830,3135
0.596,-1.780,3114
0.598,-1.570,3114
0.600,-0.777,3114
0.602,-0.352,3114
0.604,0.022,3114
0.606,0.468,3114
0.608,0.785,3114
0.610,1.018,3114
0.612,1.103,3114
0.614,1.052,3139
0.616,0.848,3139
0.618,0.532,3139
0.620,0.133,3139
0.622,-0.290,3139
0.624,-0.738,3139
0.626,-1.150,3139
0.628,-1.505,3139
