Czas(s),PPG_Surowe(ADC)
0.000,-18991
0.004,-18991
0.008,-18991
0.012,-18991
0.016,-18991
0.020,-18991
0.024,-18991
0.028,-18991
0.032,-18991
0.036,-18998
0.040,-18998
0.044,-18998
0.048,-18998
0.052,-18998
0.056,-18998
0.060,-18998
0.064,-18998
0.068,-18998
0.072,-18998
0.076,-19009
0.080,-19009
0.084,-19009
0.088,-19009
0.092,-19009
0.096,-19009
0.100,-19009
0.104,-19009
0.108,-19009
0.112,-18980
0.116,-18980
0.120,-18980
0.124,-18980
0.128,-18980
0.132,-18980
0.136,-18980
0.140,-18980
0.144,-18980
0.148,-18980
0.152,-18982
0.156,-18982
0.160,-18982
0.164,-18982
0.168,-18982
0.172,-18982
0.176,-18982
0.180,-18982
0.184,-18982
0.188,-18978
0.192,-18978
0.196,-18978
0.200,-18978
0.204,-18978
0.208,-18978
0.212,-18978
0.216,-18978
0.220,-18978
0.224,-18978
0.228,-18967
0.232,-18967
0.236,-18967
0.240,-18967
0.244,-18967
0.248,-18967
0.252,-18967
0.256,-18967
0.260,-18967
0.264,-18968
0.268,-18968
0.272,-18968
0.276,-18968
0.280,-18968
0.284,-18968
0.288,-18968
0.292,-18968
0.296,-18968
0.300,-18968
0.304,-18985
0.308,-18985
0.312,-18985
0.316,-18985
0.320,-18985
0.324,-18985
0.328,-18985
0.332,-18985
0.336,-18985
0.340,-18982
0.344,-18982
0.348,-18982
0.352,-18982
0.356,-18982
0.360,-18982
0.364,-18982
0.368,-18982
0.372,-18982
0.376,-18982
0.380,-19016
0.384,-19016
0.388,-19016
0.392,-19016
0.396,-19016
0.400,-19016
0.404,-19016
0.408,-19016
0.412,-19016
0.416,-19017
0.420,-19017
0.424,-19017
0.428,-19017
0.432,-19017
0.436,-19017
0.440,-19017
0.444,-19017
0.448,-19017
0.452,-19017
0.456,-19014
0.460,-19014
0.464,-19014
0.468,-19014
0.472,-19014
0.476,-19014
0.480,-19014
0.484,-19014
0.488,-19014
0.492,-19000
0.496,-19000
0.500,-19000
0.504,-19000
0.508,-19000
0.512,-19000
0.516,-19000
0.520,-19000
0.524,-19000
0.528,-19000
0.532,-19006
0.536,-19006
0.540,-19006
0.544,-19006
0.548,-19006
0.552,-19006
0.556,-19006
0.560,-19006
0.564,-19006
0.568,-19011
0.572,-19011
0.576,-19011
0.580,-19011
0.584,-19011
0.588,-19011
0.592,-19011
0.596,-19011
0.600,-19011
0.604,-19011
0.608,-19010
0.612,-19010
0.616,-19010
0.620,-19010
0.624,-19010
0.628,-19010
0.632,-19010
0.636,-19010
0.640,-19010
0.644,-18973
0.648,-18973
0.652,-18973
0.656,-18973
0.660,-18973
0.664,-18973
0.668,-18973
0.672,-18973
0.676,-18973
0.680,-18973
0.684,-19051
0.688,-19051
0.692,-19051
0.696,-19051
0.700,-19051
0.704,-19051
0.708,-19051
0.712,-19051
0.716,-19051
0.720,-18980
0.724,-18980
0.728,-18980
0.732,-18980
0.736,-18980
0.740,-18980
0.744,-18980
0.748,-18980
0.752,-18980
0.756,-18980
0.760,-18980
0.764,-18980
0.768,-18980
0.772,-18980
0.776,-18980
0.780,-18980
0.784,-18980
0.788,-18980
0.792,-18980
0.796,-18980
0.800,-18969
0.804,-18969
0.808,-18969
0.812,-18969
0.816,-18969
0.820,-18969
0.824,-18969
0.828,-18969
0.832,-18969
0.836,-18969
0.840,-18923
0.844,-18923
0.848,-18923
0.852,-18923
0.856,-18923
0.860,-18923
0.864,-18923
0.868,-18923
0.872,-18923
0.876,-18923
0.880,-18940
0.884,-18940
0.888,-18940
0.892,-18940
0.896,-18940
0.900,-18940
0.904,-18940
0.908,-18940
0.912,-18940
0.916,-18923
0.920,-18923
0.924,-18923
0.928,-18923
0.932,-18923
0.936,-18923
0.940,-18923
0.944,-18923
0.948,-18923
0.952,-18923
0.956,-18921
0.960,-18921
0.964,-18921
0.968,-18921
0.972,-18921
0.976,-18921
0.980,-18921
0.984,-18921
0.988,-18903
0.992,-18903
0.996,-18903
1.000,-18903
1.004,-18903
1.008,-18903
1.012,-18903
1.016,-18903
1.020,-18903
1.024,-18903
1.028,-18874
1.032,-18874
1.036,-18874
1.040,-18874
1.044,-18874
1.048,-18874
1.052,-18874
1.056,-18874
1.060,-18874
1.064,-18839
1.068,-18839
1.072,-18839
1.076,-18839
1.080,-18839
1.084,-18839
1.088,-18839
1.092,-18839
1.096,-18839
1.100,-18839
1.104,-18845
1.108,-18845
1.112,-18845
1.116,-18845
1.120,-18845
1.124,-18845
1.128,-18845
1.132,-18845
1.136,-18845
1.140,-18791
1.144,-18791
1.148,-18791
1.152,-18791
1.156,-18791
1.160,-18791
1.164,-18791
1.168,-18791
1.172,-18791
1.176,-18791
1.180,-18743
1.184,-18743
1.188,-18743
1.192,-18743
1.196,-18743
1.200,-18743
1.204,-18743
1.208,-18743
1.212,-18743
1.216,-18725
1.220,-18725
1.224,-18725
1.228,-18725
1.232,-18725
1.236,-18725
1.240,-18725
1.244,-18725
1.248,-18725
1.252,-18725
1.256,-18673
1.260,-18673
1.264,-18673
1.268,-18673
1.272,-18673
1.276,-18673
1.280,-18673
1.284,-18673
1.288,-18673
1.292,-18644
1.296,-18644
1.300,-18644
1.304,-18644
1.308,-18644
1.312,-18644
1.316,-18644
1.320,-18644
1.324,-18644
1.328,-18644
1.332,-18630
1.336,-18630
1.340,-18630
1.344,-18630
1.348,-18630
1.352,-18630
1.356,-18630
1.360,-18630
1.364,-18630
1.368,-18644
1.372,-18644
1.376,-18644
1.380,-18644
1.384,-18644
1.388,-18644
1.392,-18644
1.396,-18644
1.400,-18644
1.404,-18644
1.408,-18626
1.412,-18626
1.416,-18626
1.420,-18626
1.424,-18626
1.428,-18626
1.432,-18626
1.436,-18626
1.440,-18626
1.444,-18648
1.448,-18648
1.452,-18648
1.456,-18648
1.460,-18648
1.464,-18648
1.468,-18648
1.472,-18648
1.476,-18648
1.480,-18648
1.484,-18628
1.488,-18628
1.492,-18628
1.496,-18628
1.500,-18628
1.504,-18628
1.508,-18628
1.512,-18628
1.516,-18628
1.520,-18639
1.524,-18639
1.528,-18639
1.532,-18639
1.536,-18639
1.540,-18639
1.544,-18639
1.548,-18639
1.552,-18639
1.556,-18630
1.560,-18630
1.564,-18630
1.568,-18630
1.572,-18630
1.576,-18630
1.580,-18630
1.584,-18630
1.588,-18630
1.592,-18630
1.596,-18617
1.600,-18617
1.604,-18617
1.608,-18617
1.612,-18617
1.616,-18617
1.620,-18617
1.624,-18617
1.628,-18617
1.632,-18555
1.636,-18555
1.640,-18555
1.644,-18555
1.648,-18555
1.652,-18555
1.656,-18555
1.660,-18555
1.664,-18555
1.668,-18555
1.672,-18550
1.676,-18550
1.680,-18550
1.684,-18550
1.688,-18550
1.692,-18550
1.696,-18550
1.700,-18550
1.704,-18550
1.708,-18519
1.712,-18519
1.716,-18519
1.720,-18519
1.724,-18519
1.728,-18519
1.732,-18519
1.736,-18519
1.740,-18519
1.744,-18519
1.748,-18556
1.752,-18556
1.756,-18556
1.760,-18556
1.764,-18556
1.768,-18556
1.772,-18556
1.776,-18556
1.780,-18556
1.784,-18556
1.788,-18536
1.792,-18536
1.796,-18536
1.800,-18536
1.804,-18536
1.808,-18536
1.812,-18536
1.816,-18536
1.820,-18536
1.824,-18536
1.828,-18563
1.832,-18563
1.836,-18563
1.840,-18563
1.844,-18563
1.848,-18563
1.852,-18563
1.856,-18563
1.860,-18563
1.864,-18522
1.868,-18522
1.872,-18522
1.876,-18522
1.880,-18522
1.884,-18522
1.888,-18522
1.892,-18522
1.896,-18522
1.900,-18522
1.904,-18543
1.908,-18543
1.912,-18543
1.916,-18543
